Group,OrigProgram,Marker Color,Marker Icon,Icon Color,Custom Size,Image,Year,Name,Description,Location,Latitude,Longitude,Geocoded address,Street,Town,InformalTown,Zip
Operating Support,ENDOW,orange,,,,,2018,Curtain Call,"$2,275",1349 Newfield Avenue Stamford CT 06905-1422,41.101772,-73.53051,"1349 NEWFIELD AVE, STAMFORD, CT, 06905",1349 Newfield Avenue,Stamford,Stamford,06905-1422
Operating Support,ENDOW,orange,,,,,2019,Curtain Call,"$1,727",1349 Newfield Avenue Stamford CT 06905-1422,41.101772,-73.53051,"1349 NEWFIELD AVE, STAMFORD, CT, 06905",1349 Newfield Avenue,Stamford,Stamford,06905-1422
Operating Support,ENDOW,orange,,,,,2020,Curtain Call,"$2,804",1349 Newfield Avenue Stamford CT 06905-1422,41.101772,-73.53051,"1349 NEWFIELD AVE, STAMFORD, CT, 06905",1349 Newfield Avenue,Stamford,Stamford,06905-1422
Operating Support,SAP,orange,,,,,2017,Curtain Call,"$5,660",1349 Newfield Avenue Stamford CT 06905-1422,41.101772,-73.53051,"1349 NEWFIELD AVE, STAMFORD, CT, 06905",1349 Newfield Avenue,Stamford,Stamford,06905-1422
Operating Support,SAP,orange,,,,,2018,Curtain Call,"$5,846",1349 Newfield Avenue Stamford CT 06905-1422,41.101772,-73.53051,"1349 NEWFIELD AVE, STAMFORD, CT, 06905",1349 Newfield Avenue,Stamford,Stamford,06905-1422
Operating Support,SAP,orange,,,,,2019,Curtain Call,"$10,000",1349 Newfield Avenue Stamford CT 06905-1422,41.101772,-73.53051,"1349 NEWFIELD AVE, STAMFORD, CT, 06905",1349 Newfield Avenue,Stamford,Stamford,06905-1422
Operating Support,SAP,orange,,,,,2020,Curtain Call,"$8,750",1349 Newfield Avenue Stamford CT 06905-1422,41.101772,-73.53051,"1349 NEWFIELD AVE, STAMFORD, CT, 06905",1349 Newfield Avenue,Stamford,Stamford,06905-1422
Operating Support,ENDOW,orange,,,,,2017,INTEMPO,$555,58 Church Street Stamford CT 06906,41.07115,-73.52239,"58 CHURCH ST, STAMFORD, CT, 06906",58 Church Street,Stamford,Stamford,6906
Operating Support,ENDOW,orange,,,,,2018,INTEMPO,"$2,460",58 Church Street Stamford CT 06906,41.07115,-73.52239,"58 CHURCH ST, STAMFORD, CT, 06906",58 Church Street,Stamford,Stamford,6906
Operating Support,ENDOW,orange,,,,,2019,INTEMPO,"$3,304",58 Church Street Stamford CT 06906,41.07115,-73.52239,"58 CHURCH ST, STAMFORD, CT, 06906",58 Church Street,Stamford,Stamford,6906
Operating Support,ENDOW,orange,,,,,2020,INTEMPO,"$1,990",58 Church Street Stamford CT 06906,41.07115,-73.52239,"58 CHURCH ST, STAMFORD, CT, 06906",58 Church Street,Stamford,Stamford,6906
Operating Support,DirLocal,orange,,,,,2018,"Aldrich Contemporary Art Museum, Inc.","$32,835",258 Main Street Ridgefield CT 06877-4933,41.276814,-73.497826,"258 MAIN ST, RIDGEFIELD, CT, 06877",258 Main Street,Ridgefield,Ridgefield,06877-4933
Operating Support,DirLocal,orange,,,,,2019,"Aldrich Contemporary Art Museum, Inc.","$41,044",258 Main Street Ridgefield CT 06877-4933,41.276814,-73.497826,"258 MAIN ST, RIDGEFIELD, CT, 06877",258 Main Street,Ridgefield,Ridgefield,06877-4933
Operating Support,DirLocal,orange,,,,,2020,"Aldrich Contemporary Art Museum, Inc.","$41,045",258 Main Street Ridgefield CT 06877-4933,41.276814,-73.497826,"258 MAIN ST, RIDGEFIELD, CT, 06877",258 Main Street,Ridgefield,Ridgefield,06877-4933
Operating Support,ENDOW,orange,,,,,2017,"Aldrich Contemporary Art Museum, Inc.","$3,712",258 Main Street Ridgefield CT 06877-4933,41.276814,-73.497826,"258 MAIN ST, RIDGEFIELD, CT, 06877",258 Main Street,Ridgefield,Ridgefield,06877-4933
Operating Support,ENDOW,orange,,,,,2019,"Aldrich Contemporary Art Museum, Inc.","$3,927",258 Main Street Ridgefield CT 06877-4933,41.276814,-73.497826,"258 MAIN ST, RIDGEFIELD, CT, 06877",258 Main Street,Ridgefield,Ridgefield,06877-4933
Operating Support,ENDOW,orange,,,,,2020,"Aldrich Contemporary Art Museum, Inc.","$11,109",258 Main Street Ridgefield CT 06877-4933,41.276814,-73.497826,"258 MAIN ST, RIDGEFIELD, CT, 06877",258 Main Street,Ridgefield,Ridgefield,06877-4933
Operating Support,Mandated,orange,,,,,2017,"Aldrich Contemporary Art Museum, Inc.","$41,045",258 Main Street Ridgefield CT 06877-4933,41.276814,-73.497826,"258 MAIN ST, RIDGEFIELD, CT, 06877",258 Main Street,Ridgefield,Ridgefield,06877-4933
Operating Support,ENDOW,orange,,,,,2018,Summer Theatre of New Canaan,"$4,650",70 Pine Street New Canaan CT 06840-5407,41.144478,-73.49736,"70 PINE ST, NEW CANAAN, CT, 06840",70 Pine Street,New Canaan,New Canaan,06840-5407
Operating Support,ENDOW,orange,,,,,2019,Summer Theatre of New Canaan,"$4,132",70 Pine Street New Canaan CT 06840-5407,41.144478,-73.49736,"70 PINE ST, NEW CANAAN, CT, 06840",70 Pine Street,New Canaan,New Canaan,06840-5407
Operating Support,ENDOW,orange,,,,,2020,Summer Theatre of New Canaan,"$3,403",70 Pine Street New Canaan CT 06840-5407,41.144478,-73.49736,"70 PINE ST, NEW CANAAN, CT, 06840",70 Pine Street,New Canaan,New Canaan,06840-5407
Operating Support,SAP,orange,,,,,2018,Summer Theatre of New Canaan,"$8,615",70 Pine Street New Canaan CT 06840-5407,41.144478,-73.49736,"70 PINE ST, NEW CANAAN, CT, 06840",70 Pine Street,New Canaan,New Canaan,06840-5407
Operating Support,ENDOW,orange,,,,,2018,Ridgefield Symphony Orchestra,"$2,560",77 Danbury Road Ridgefield CT 06877-5099,41.291363,-73.49416,"77 DANBURY RD, RIDGEFIELD, CT, 06877",77 Danbury Road,Ridgefield,Ridgefield,06877-5099
Operating Support,ENDOW,orange,,,,,2019,Ridgefield Symphony Orchestra,"$1,684",77 Danbury Road Ridgefield CT 06877-5099,41.291363,-73.49416,"77 DANBURY RD, RIDGEFIELD, CT, 06877",77 Danbury Road,Ridgefield,Ridgefield,06877-5099
Operating Support,ENDOW,orange,,,,,2020,Ridgefield Symphony Orchestra,"$1,880",77 Danbury Road Ridgefield CT 06877-5099,41.291363,-73.49416,"77 DANBURY RD, RIDGEFIELD, CT, 06877",77 Danbury Road,Ridgefield,Ridgefield,06877-5099
Operating Support,SAP,orange,,,,,2018,Ridgefield Symphony Orchestra,"$1,846",77 Danbury Road Ridgefield CT 06877-5099,41.291363,-73.49416,"77 DANBURY RD, RIDGEFIELD, CT, 06877",77 Danbury Road,Ridgefield,Ridgefield,06877-5099
Operating Support,SAP,orange,,,,,2020,Ridgefield Symphony Orchestra,"$5,950",77 Danbury Road Ridgefield CT 06877-5099,41.291363,-73.49416,"77 DANBURY RD, RIDGEFIELD, CT, 06877",77 Danbury Road,Ridgefield,Ridgefield,06877-5099
Operating Support,ENDOW,orange,,,,,2017,Ridgefield Playhouse,"$3,506",80 East Ridge Avenue Ridgefield CT 06877-5022,41.280582,-73.49385,"80 E RIDGE RD, RIDGEFIELD, CT, 06877",80 East Ridge Avenue,Ridgefield,Ridgefield,06877-5022
Operating Support,ENDOW,orange,,,,,2018,Ridgefield Playhouse,"$16,600",80 East Ridge Avenue Ridgefield CT 06877-5022,41.280582,-73.49385,"80 E RIDGE RD, RIDGEFIELD, CT, 06877",80 East Ridge Avenue,Ridgefield,Ridgefield,06877-5022
Operating Support,ENDOW,orange,,,,,2019,Ridgefield Playhouse,"$6,021",80 East Ridge Avenue Ridgefield CT 06877-5022,41.280582,-73.49385,"80 E RIDGE RD, RIDGEFIELD, CT, 06877",80 East Ridge Avenue,Ridgefield,Ridgefield,06877-5022
Operating Support,ENDOW,orange,,,,,2020,Ridgefield Playhouse,"$13,835",80 East Ridge Avenue Ridgefield CT 06877-5022,41.280582,-73.49385,"80 E RIDGE RD, RIDGEFIELD, CT, 06877",80 East Ridge Avenue,Ridgefield,Ridgefield,06877-5022
Operating Support,SAP,orange,,,,,2017,Ridgefield Playhouse,"$18,630",80 East Ridge Avenue Ridgefield CT 06877-5022,41.280582,-73.49385,"80 E RIDGE RD, RIDGEFIELD, CT, 06877",80 East Ridge Avenue,Ridgefield,Ridgefield,06877-5022
Operating Support,SAP,orange,,,,,2018,Ridgefield Playhouse,"$22,154",80 East Ridge Avenue Ridgefield CT 06877-5022,41.280582,-73.49385,"80 E RIDGE RD, RIDGEFIELD, CT, 06877",80 East Ridge Avenue,Ridgefield,Ridgefield,06877-5022
Operating Support,SAP,orange,,,,,2019,Ridgefield Playhouse,"$12,500",80 East Ridge Avenue Ridgefield CT 06877-5022,41.280582,-73.49385,"80 E RIDGE RD, RIDGEFIELD, CT, 06877",80 East Ridge Avenue,Ridgefield,Ridgefield,06877-5022
Operating Support,SAP,orange,,,,,2020,Ridgefield Playhouse,"$10,500",80 East Ridge Avenue Ridgefield CT 06877-5022,41.280582,-73.49385,"80 E RIDGE RD, RIDGEFIELD, CT, 06877",80 East Ridge Avenue,Ridgefield,Ridgefield,06877-5022
Operating Support,ENDOW,orange,,,,,2018,"New England Dance Theater, Inc.","$2,050",231 Main Street New Canaan CT 06840,41.144123,-73.48934,"231 MAIN ST, NEW CANAAN, CT, 06840",231 Main Street,New Canaan,New Canaan,6840
Operating Support,ENDOW,orange,,,,,2019,"New England Dance Theater, Inc.",$888,231 Main Street New Canaan CT 06840,41.144123,-73.48934,"231 MAIN ST, NEW CANAAN, CT, 06840",231 Main Street,New Canaan,New Canaan,6840
Operating Support,ENDOW,orange,,,,,2020,"New England Dance Theater, Inc.",$598,231 Main Street New Canaan CT 06840,41.144123,-73.48934,"231 MAIN ST, NEW CANAAN, CT, 06840",231 Main Street,New Canaan,New Canaan,6840
Operating Support,ENDOW,orange,,,,,2017,Ridgefield Workshop for the Performing Arts,"$1,431",37 Halpin Lane Ridgefield CT 06877-5125,41.28218,-73.48934,"37 HALPIN LN, RIDGEFIELD, CT, 06877",37 Halpin Lane,Ridgefield,Ridgefield,06877-5125
Operating Support,ENDOW,orange,,,,,2018,Ridgefield Workshop for the Performing Arts,$500,37 Halpin Lane Ridgefield CT 06877-5125,41.28218,-73.48934,"37 HALPIN LN, RIDGEFIELD, CT, 06877",37 Halpin Lane,Ridgefield,Ridgefield,06877-5125
Operating Support,ENDOW,orange,,,,,2019,Ridgefield Workshop for the Performing Arts,$500,37 Halpin Lane Ridgefield CT 06877-5125,41.28218,-73.48934,"37 HALPIN LN, RIDGEFIELD, CT, 06877",37 Halpin Lane,Ridgefield,Ridgefield,06877-5125
Operating Support,ENDOW,orange,,,,,2020,Ridgefield Workshop for the Performing Arts,"$1,232",37 Halpin Lane Ridgefield CT 06877-5125,41.28218,-73.48934,"37 HALPIN LN, RIDGEFIELD, CT, 06877",37 Halpin Lane,Ridgefield,Ridgefield,06877-5125
Operating Support,SAP,orange,,,,,2018,Ridgefield Workshop for the Performing Arts,"$3,291",37 Halpin Lane Ridgefield CT 06877-5125,41.28218,-73.48934,"37 HALPIN LN, RIDGEFIELD, CT, 06877",37 Halpin Lane,Ridgefield,Ridgefield,06877-5125
Operating Support,SAP,orange,,,,,2019,Ridgefield Workshop for the Performing Arts,"$5,000",37 Halpin Lane Ridgefield CT 06877-5125,41.28218,-73.48934,"37 HALPIN LN, RIDGEFIELD, CT, 06877",37 Halpin Lane,Ridgefield,Ridgefield,06877-5125
Operating Support,ENDOW,orange,,,,,2017,Tri-State Center for the Arts,"$4,489",49 Amenia Road Sharon CT 06069-2242,41.876377,-73.47863,"49 AMENIA RD, SHARON, CT, 06069",49 Amenia Road,Sharon,Sharon,06069-2242
Operating Support,ENDOW,orange,,,,,2018,Tri-State Center for the Arts,"$5,935",49 Amenia Road Sharon CT 06069-2242,41.876377,-73.47863,"49 AMENIA RD, SHARON, CT, 06069",49 Amenia Road,Sharon,Sharon,06069-2242
Operating Support,ENDOW,orange,,,,,2019,Tri-State Center for the Arts,"$10,788",49 Amenia Road Sharon CT 06069-2242,41.876377,-73.47863,"49 AMENIA RD, SHARON, CT, 06069",49 Amenia Road,Sharon,Sharon,06069-2242
Operating Support,ENDOW,orange,,,,,2020,Tri-State Center for the Arts,"$5,537",49 Amenia Road Sharon CT 06069-2242,41.876377,-73.47863,"49 AMENIA RD, SHARON, CT, 06069",49 Amenia Road,Sharon,Sharon,06069-2242
Operating Support,SAP,orange,,,,,2017,Tri-State Center for the Arts,"$5,749",49 Amenia Road Sharon CT 06069-2242,41.876377,-73.47863,"49 AMENIA RD, SHARON, CT, 06069",49 Amenia Road,Sharon,Sharon,06069-2242
Operating Support,SAP,orange,,,,,2018,Tri-State Center for the Arts,"$7,077",49 Amenia Road Sharon CT 06069-2242,41.876377,-73.47863,"49 AMENIA RD, SHARON, CT, 06069",49 Amenia Road,Sharon,Sharon,06069-2242
Operating Support,ENDOW,orange,,,,,2017,"Weir Farm Art Center, Inc.",$975,735 Nod Hill Road Wilton CT 06897-1309,41.25377,-73.45512,"735 NOD HILL RD, WILTON, CT, 06897",735 Nod Hill Road,Wilton,Wilton,06897-1309
Operating Support,ENDOW,orange,,,,,2018,"Weir Farm Art Center, Inc.",$731,735 Nod Hill Road Wilton CT 06897-1309,41.25377,-73.45512,"735 NOD HILL RD, WILTON, CT, 06897",735 Nod Hill Road,Wilton,Wilton,06897-1309
Operating Support,ENDOW,orange,,,,,2019,"Weir Farm Art Center, Inc.",$500,735 Nod Hill Road Wilton CT 06897-1309,41.25377,-73.45512,"735 NOD HILL RD, WILTON, CT, 06897",735 Nod Hill Road,Wilton,Wilton,06897-1309
Operating Support,ENDOW,orange,,,,,2020,"Weir Farm Art Center, Inc.",$500,735 Nod Hill Road Wilton CT 06897-1309,41.25377,-73.45512,"735 NOD HILL RD, WILTON, CT, 06897",735 Nod Hill Road,Wilton,Wilton,06897-1309
Operating Support,ENDOW,orange,,,,,2017,"Silvermine Guild of Artists, Inc.","$2,868",1037 Silvermine Road New Canaan CT 06840-4398,41.150978,-73.45017,"1037 SILVERMINE RD, NEW CANAAN, CT, 06840",1037 Silvermine Road,New Canaan,New Canaan,06840-4398
Operating Support,ENDOW,orange,,,,,2018,"Silvermine Guild of Artists, Inc.","$6,560",1037 Silvermine Road New Canaan CT 06840-4398,41.150978,-73.45017,"1037 SILVERMINE RD, NEW CANAAN, CT, 06840",1037 Silvermine Road,New Canaan,New Canaan,06840-4398
Operating Support,ENDOW,orange,,,,,2019,"Silvermine Guild of Artists, Inc.","$8,324",1037 Silvermine Road New Canaan CT 06840-4398,41.150978,-73.45017,"1037 SILVERMINE RD, NEW CANAAN, CT, 06840",1037 Silvermine Road,New Canaan,New Canaan,06840-4398
Operating Support,ENDOW,orange,,,,,2020,"Silvermine Guild of Artists, Inc.","$5,451",1037 Silvermine Road New Canaan CT 06840-4398,41.150978,-73.45017,"1037 SILVERMINE RD, NEW CANAAN, CT, 06840",1037 Silvermine Road,New Canaan,New Canaan,06840-4398
Operating Support,SAP,orange,,,,,2017,"Silvermine Guild of Artists, Inc.","$14,675",1037 Silvermine Road New Canaan CT 06840-4398,41.150978,-73.45017,"1037 SILVERMINE RD, NEW CANAAN, CT, 06840",1037 Silvermine Road,New Canaan,New Canaan,06840-4398
Operating Support,SAP,orange,,,,,2018,"Silvermine Guild of Artists, Inc.","$18,769",1037 Silvermine Road New Canaan CT 06840-4398,41.150978,-73.45017,"1037 SILVERMINE RD, NEW CANAAN, CT, 06840",1037 Silvermine Road,New Canaan,New Canaan,06840-4398
Operating Support,SAP,orange,,,,,2019,"Silvermine Guild of Artists, Inc.","$12,500",1037 Silvermine Road New Canaan CT 06840-4398,41.150978,-73.45017,"1037 SILVERMINE RD, NEW CANAAN, CT, 06840",1037 Silvermine Road,New Canaan,New Canaan,06840-4398
Operating Support,SAP,orange,,,,,2020,"Silvermine Guild of Artists, Inc.","$10,500",1037 Silvermine Road New Canaan CT 06840-4398,41.150978,-73.45017,"1037 SILVERMINE RD, NEW CANAAN, CT, 06840",1037 Silvermine Road,New Canaan,New Canaan,06840-4398
Operating Support,ENDOW,orange,,,,,2018,Carl Schmitt Foundation,"$1,165",30 Borglum Road Wilton CT 06897,41.164135,-73.44605,"30 BORGLUM RD, WILTON, CT, 06897",30 Borglum Road,Wilton,Wilton,6897
Operating Support,ENDOW,orange,,,,,2018,Rowayton Arts Center,"$1,325",145 Rowayton Avenue Norwalk CT 06853-1444,41.067696,-73.44366,"145 ROWAYTON AVE, NORWALK, CT, 06853",145 Rowayton Avenue,Norwalk,Rowayton,06853-1444
Operating Support,ENDOW,orange,,,,,2019,Rowayton Arts Center,$500,145 Rowayton Avenue Norwalk CT 06853-1444,41.067696,-73.44366,"145 ROWAYTON AVE, NORWALK, CT, 06853",145 Rowayton Avenue,Norwalk,Rowayton,06853-1444
Operating Support,SAP,orange,,,,,2017,Rowayton Arts Center,"$7,498",145 Rowayton Avenue Norwalk CT 06853-1444,41.067696,-73.44366,"145 ROWAYTON AVE, NORWALK, CT, 06853",145 Rowayton Avenue,Norwalk,Rowayton,06853-1444
Operating Support,SAP,orange,,,,,2018,Rowayton Arts Center,"$3,248",145 Rowayton Avenue Norwalk CT 06853-1444,41.067696,-73.44366,"145 ROWAYTON AVE, NORWALK, CT, 06853",145 Rowayton Avenue,Norwalk,Rowayton,06853-1444
Operating Support,SAP,orange,,,,,2019,Rowayton Arts Center,"$5,000",145 Rowayton Avenue Norwalk CT 06853-1444,41.067696,-73.44366,"145 ROWAYTON AVE, NORWALK, CT, 06853",145 Rowayton Avenue,Norwalk,Rowayton,06853-1444
Operating Support,SAP,orange,,,,,2020,Rowayton Arts Center,"$5,950",145 Rowayton Avenue Norwalk CT 06853-1444,41.067696,-73.44366,"145 ROWAYTON AVE, NORWALK, CT, 06853",145 Rowayton Avenue,Norwalk,Rowayton,06853-1444
Operating Support,SAP,orange,,,,,2017,"Music on the Hill, Inc.","$3,730",48 New Canaan Road Wilton CT 06897,41.17488,-73.4419,"48 NEW CANAAN RD, WILTON, CT, 06897",48 New Canaan Road,Wilton,Wilton,6897
Operating Support,ENDOW,orange,,,,,2017,"Music on the Hill, Inc.",$695,48 New Canaan Road Wilton CT 06897,41.217327,-73.42459,"48 CANNON RD, WILTON, CT, 06897",48 New Canaan Road,Wilton,Wilton,6897
Operating Support,ENDOW,orange,,,,,2018,"Music on the Hill, Inc.",$900,48 New Canaan Road Wilton CT 06897,41.217327,-73.42459,"48 CANNON RD, WILTON, CT, 06897",48 New Canaan Road,Wilton,Wilton,6897
Operating Support,ENDOW,orange,,,,,2019,"Music on the Hill, Inc.",$580,48 New Canaan Road Wilton CT 06897,41.217327,-73.42459,"48 CANNON RD, WILTON, CT, 06897",48 New Canaan Road,Wilton,Wilton,6897
Operating Support,ENDOW,orange,,,,,2020,"Music on the Hill, Inc.","$1,344",48 New Canaan Road Wilton CT 06897,41.217327,-73.42459,"48 CANNON RD, WILTON, CT, 06897",48 New Canaan Road,Wilton,Wilton,6897
Operating Support,SAP,orange,,,,,2018,"Music on the Hill, Inc.","$2,526",48 New Canaan Road Wilton CT 06897,41.217327,-73.42459,"48 CANNON RD, WILTON, CT, 06897",48 New Canaan Road,Wilton,Wilton,6897
Operating Support,SAP,orange,,,,,2019,"Music on the Hill, Inc.","$5,000",48 New Canaan Road Wilton CT 06897,41.217327,-73.42459,"48 CANNON RD, WILTON, CT, 06897",48 New Canaan Road,Wilton,Wilton,6897
Operating Support,SAP,orange,,,,,2020,"Music on the Hill, Inc.","$5,950",48 New Canaan Road Wilton CT 06897,41.217327,-73.42459,"48 CANNON RD, WILTON, CT, 06897",48 New Canaan Road,Wilton,Wilton,6897
Operating Support,ENDOW,orange,,,,,2017,Center for Contemporary Printmaking,"$4,804",299 West Avenue Norwalk CT 06850-4002,41.109764,-73.41812,"299 WEST AVE, NORWALK, CT, 06850",299 West Avenue,Norwalk,Norwalk,06850-4002
Operating Support,ENDOW,orange,,,,,2018,Center for Contemporary Printmaking,"$1,585",299 West Avenue Norwalk CT 06850-4002,41.109764,-73.41812,"299 WEST AVE, NORWALK, CT, 06850",299 West Avenue,Norwalk,Norwalk,06850-4002
Operating Support,SAP,orange,,,,,2017,Center for Contemporary Printmaking,"$8,839",299 West Avenue Norwalk CT 06850-4002,41.109764,-73.41812,"299 WEST AVE, NORWALK, CT, 06850",299 West Avenue,Norwalk,Norwalk,06850-4002
Operating Support,SAP,orange,,,,,2018,Center for Contemporary Printmaking,"$8,308",299 West Avenue Norwalk CT 06850-4002,41.109764,-73.41812,"299 WEST AVE, NORWALK, CT, 06850",299 West Avenue,Norwalk,Norwalk,06850-4002
Operating Support,DirLocal,orange,,,,,2018,Cultural Alliance of Fairfield County,"$41,600",301 West Avenue Norwalk CT 06850-4002,41.109776,-73.41811,"301 WEST AVE, NORWALK, CT, 06850",301 West Avenue,Norwalk,Norwalk,06850-4002
Operating Support,DirLocal,orange,,,,,2019,Cultural Alliance of Fairfield County,"$52,000",301 West Avenue Norwalk CT 06850-4002,41.109776,-73.41811,"301 WEST AVE, NORWALK, CT, 06850",301 West Avenue,Norwalk,Norwalk,06850-4002
Operating Support,DirLocal,orange,,,,,2020,Cultural Alliance of Fairfield County,"$52,000",301 West Avenue Norwalk CT 06850-4002,41.109776,-73.41811,"301 WEST AVE, NORWALK, CT, 06850",301 West Avenue,Norwalk,Norwalk,06850-4002
Operating Support,ENDOW,orange,,,,,2017,Creative Connections,"$1,285",303 West Avenue Norwalk CT 06850-4002,41.109787,-73.41811,"303 WEST AVE, NORWALK, CT, 06850",303 West Avenue,Norwalk,Norwalk,06850-4002
